loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,130,8.3,13.00,0.83,2026-05-25 12:49:49,success
2,10,130,8.2,13.00,0.82,2026-05-25 12:50:00,success
3,10,118,7.5,11.80,0.75,2026-05-25 12:50:11,success
4,10,120,7.6,12.00,0.76,2026-05-25 12:50:23,success
5,10,127,8.0,12.70,0.80,2026-05-25 12:50:34,success
6,10,130,8.2,13.00,0.82,2026-05-25 12:50:46,success
7,10,130,8.2,13.00,0.82,2026-05-25 12:50:57,success
8,10,130,8.2,13.00,0.82,2026-05-25 12:51:08,success
9,10,123,7.7,12.30,0.77,2026-05-25 12:51:19,success
10,10,129,8.1,12.90,0.81,2026-05-25 12:51:30,success
11,10,130,8.2,13.00,0.82,2026-05-25 12:51:42,success
12,10,125,7.9,12.50,0.79,2026-05-25 12:51:53,success
13,10,121,7.6,12.10,0.76,2026-05-25 12:52:04,success
14,10,130,8.2,13.00,0.82,2026-05-25 12:52:15,success
15,10,130,8.2,13.00,0.82,2026-05-25 12:52:26,success
16,10,130,8.2,13.00,0.82,2026-05-25 12:52:37,success
17,10,126,7.9,12.60,0.79,2026-05-25 12:52:48,success
18,10,69,4.3,6.90,0.43,2026-05-25 12:53:01,success
19,10,130,8.2,13.00,0.82,2026-05-25 12:53:12,success
20,10,130,8.2,13.00,0.82,2026-05-25 12:53:23,success
21,10,88,5.5,8.80,0.55,2026-05-25 12:53:34,success
22,10,126,7.9,12.60,0.79,2026-05-25 12:53:45,success
23,10,90,5.6,9.00,0.56,2026-05-25 12:53:58,success
24,10,126,7.9,12.60,0.79,2026-05-25 12:54:09,success
25,10,132,8.3,13.20,0.83,2026-05-25 12:54:21,success
26,10,130,8.1,13.00,0.81,2026-05-25 12:54:32,success
27,10,130,8.1,13.00,0.81,2026-05-25 12:54:43,success
28,10,130,8.1,13.00,0.81,2026-05-25 12:54:55,success
29,10,130,8.1,13.00,0.81,2026-05-25 12:55:06,success
30,10,128,7.9,12.80,0.79,2026-05-25 12:55:17,success
31,10,130,8.0,13.00,0.80,2026-05-25 12:55:28,success
32,10,124,7.6,12.40,0.76,2026-05-25 12:55:39,success
33,10,131,8.1,13.10,0.81,2026-05-25 12:55:50,success
34,10,130,8.0,13.00,0.80,2026-05-25 12:56:02,success
35,10,130,8.0,13.00,0.80,2026-05-25 12:56:13,success
36,10,129,8.0,12.90,0.80,2026-05-25 12:56:24,success
37,10,130,8.1,13.00,0.81,2026-05-25 12:56:35,success
38,10,129,8.0,12.90,0.80,2026-05-25 12:56:46,success
39,10,130,8.1,13.00,0.81,2026-05-25 12:56:57,success
40,10,121,7.5,12.10,0.75,2026-05-25 12:57:08,success
41,10,129,8.0,12.90,0.80,2026-05-25 12:57:19,success
42,10,129,8.0,12.90,0.80,2026-05-25 12:57:30,success
43,10,127,7.9,12.70,0.79,2026-05-25 12:57:41,success
44,10,130,8.0,13.00,0.80,2026-05-25 12:57:53,success
45,10,125,7.7,12.50,0.77,2026-05-25 12:58:04,success
46,10,130,8.0,13.00,0.80,2026-05-25 12:58:15,success
47,10,128,7.9,12.80,0.79,2026-05-25 12:58:26,success
48,10,125,7.7,12.50,0.77,2026-05-25 12:58:37,success
49,10,129,8.0,12.90,0.80,2026-05-25 12:58:48,success
50,10,140,8.6,14.00,0.86,2026-05-25 12:59:00,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
125.48,7.8,12.55,0.78
